"id","text","screenName","created","favoriteCount","retweetCount"
"1428274096995983363","Kanzlerkandidat @ArminLaschet knickt ein vor dem Geist der #Kanzlerin, stellt die Ideologie der offenen Grenzen übe… https://t.co/tFzaoMVVL6","Alice_Weidel",2021-08-19 08:34:15,1939,525
"1427577167102238725","#Seehofer rechnet mit bis zu 5 Mio #Fluechtlingen. Die #Bundesregierung beweist, dass sie aus den Fehlern 2015 nich… https://t.co/6b73ro2IM7","Alice_Weidel",2021-08-17 10:24:54,1931,445
"1427201642743668737","2015 darf sich nicht wiederholen. Dazu braucht es jetzt ein #Asylmoratorium, das Raum für einen Übergang zum Null-… https://t.co/1EWLaCjmsu","Alice_Weidel",2021-08-16 09:32:42,2897,709
"1426462322252525568","Die €-Dauerrettung führt zu massiver Verschuldung &amp; entwertet unser Geld. Steigende Preise, sinkende Löhne &amp; der dr… https://t.co/mjq3G3onnT","Alice_Weidel",2021-08-14 08:34:54,1316,296
"1426079251212734465","Mit Kurt #Biedenkopf ist einer der letzten Charakterköpfe der Politik von uns gegangen. Ich spreche seinen Angehöri… https://t.co/UcjsNDEbqo","Alice_Weidel",2021-08-13 07:12:43,1588,182
"1425431580684820483","Wieder einmal stellt die #Bundesregierung die Sicherheit der eigenen Bürger hintenan. Wer in #Deutschland kriminell… https://t.co/sriCjYHRL9","Alice_Weidel",2021-08-11 12:19:06,2937,604
"1424306981473562626","Fast 20 Mrd flossen 2020 nach #Brüssel - doppelt soviel wie #Frankreich zahlte. So wie die #EU-Kommission agiert, w… https://t.co/9TQYKpKBFI","Alice_Weidel",2021-08-08 09:50:21,1682,474
"1423987569570762760","Warum Deutschland der Zahlmeister der #EU ist, Gruppenvergewaltigungen inzwischen zur Normalität gehören &amp; die „Akt… https://t.co/rPz2DeW2ou","Alice_Weidel",2021-08-07 12:41:07,2137,667
"1423650039201665030","Immerhin ist die #Polizei mal vor Ort. #Berlin #Goerli https://t.co/QVEXyfySPX","Alice_Weidel",2021-08-06 14:19:54,856,158
"1423589626799874057","Wetterdienste warnten schon 2 Tage vor der #Flutkatastrophe präzise, ebenso das Hochwasserwarnsystem #EFAS. Dennoch… https://t.co/Odq2jGPFSt","Alice_Weidel",2021-08-06 10:19:50,1285,357
"1423280628431163405","Quasi automatisch darf sich der teuerste öffentlich-rechtliche Rundfunk der Welt künftig selbst das Säckel füllen.… https://t.co/hpoblZNleL","Alice_Weidel",2021-08-05 13:51:59,3527,674
"1423212995619004416","Das ist keine Abschiebeoffensive, wie sie Innenminister Horst #Seehofer unlängst ankündigte, sondern blanker Hohn g… https://t.co/706lrsQqtg","Alice_Weidel",2021-08-05 09:23:14,2375,747
"1422869148745482242","Das Bundesgesundheitsministerium v. @jensspahn sieht ab Herbst scharfe Freiheitsbeschränkungen vor. 32 Mio… https://t.co/lxl9OGIJq4","Alice_Weidel",2021-08-04 10:36:55,2391,669
"1422556337691574278","Für eine Familie mit Kindern reicht ein normales Einkommen kaum noch zum Leben. Die eigene #Wohnung oder das Eigenh… https://t.co/bshccE1owK","Alice_Weidel",2021-08-03 13:53:55,2163,560
"1422461889838264333","Die Gesundheitsminister haben beschlossen, dass Minderjährige ab 12 ein sog. #Impfangebot erhalten sollen. Damit um… https://t.co/TkDbgV2OGN","Alice_Weidel",2021-08-03 07:38:37,2092,597
"1421113736761331712","Der Wahlausschuss hat unsere Landesliste einstimmig genehmigt. Jetzt freuen wir uns auf einen erfolgreichen Wahlkam… https://t.co/DdDTn4aUO4","Alice_Weidel",2021-07-30 14:21:32,1880,390
"1420722768476352512","Im Gespräch mit der @noz_de fordert #Schaeuble Freiheitseinschränkungen nur für #Ungeimpfte. Damit sich mehr Mensch… https://t.co/YnSvsP70WI","Alice_Weidel",2021-07-29 12:27:58,1582,427
